title,point,review,type
운명의 산 낭가 파르밧,10,억지 신파 장면 없이 담백하게 산악인 라인홀트와 건터 형제의 이야기를 볼 수 있어서 좋았습니다.,긍정
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",10,벌써 3번째  봅니다 영화가 끝나는순간 쉽게 일어나지 못하는 긴여운이남네요 영화보는내내 고맙소 할머니에울고 천상재회에  눈물이 주룩주룩 감동에 또감동에 김호중 님의 의사가 못하는 치유와 처료를 받고있네요 아름답고 이쁜 선한영향력을 전파하는 행복치료사 고맙습니다 별 님있어 행복합니다,긍정
틴 스피릿,5,대충 대강 엘르패닝 원탑으로 비벼서 만든 느낌,부정
천문: 하늘에 묻는다,10,음...두분에 연기에 가슴이 뛰었습니다.,긍정
시카리오: 데이 오브 솔다도,1,이게 왤케 평점이 높은지 모르겠네..긴장감도 없고 액션도 마지막에 잠깐 나오는데..평점 믿지 말라는 말이 왜 그런지 이제 알겠다.,부정
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",2,그만좀 우려먹어라 제발,부정
죽지않는 인간들의 밤,1,최악...내용도 재미도 아무것도 없다..아까운 배우들..분명 찍으면서 후회했을듯,부정
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",10,"역시~ 김호중이네요~   감성, 성량,  노래  표현력 짱~  노래  한소절  한소절에  실린  감성이  그대로   전해지네요",긍정
국제수사,10,오랜만에 극장에서 본 영화라서 재미있게 보고 왔어요,긍정
청년경찰,2,두배우 연기는 좋으나. 난자 적출.장기매매라니. 끔찍해서 중간에 껐음. 기분 더러움. 심약하신분 완전 비추,부정
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",10,그댄 내게 행복을 주는 사람~~~ 더이상의 말로는 표현할수 없는 나의 가수..,긍정
피원에이치 : 새로운 세계의 시작,10,"방금 밤 10시10분 영화를 영화관에서 저 혼자 보고 왔습니다  영화관에 사람이 너무 없네요 ㅎㅎ  다른 분들 감상평도 읽고 예고편 및 피원하모니 동영상, 감독 인터뷰도 보면서  20억 예산의 SF영화라  퀄리티를 크게 기대 안하고 봤는데 신인그룹 홍보영화로는 시나리오 연기 정말 많이 신경써서 만들었다 싶어 놀랬습니다 처음 연기하는 신인들 이지만 연기논란이 없을 정도로 잘했고 FNC 엔터 소속배우 총출동한 느낌이지만 다들 연기 잘하시는 분들이라 믿고 보게 되네요 다음 편을 기대하게 되고 K팝과 K뮤비의 합작으로  마블히어로 같은 영화를 만들거라는데 신인아이돌 그룹의 홍보로는 우선 그 시작은 괜찮은 것  같습니다 영화를 보고 나면 많은분들이 피원하모니란 그룹에 관심을 안 가질래야 안 가질 수가 없을 것 같네요  다들 연기 춤 재능이 있는 것 같은데 정말 좋은 노래로 데뷔해서 BTS처럼 대한민국을 빛내 줬으면  좋겠습니다 영화 재미있게 잘 봤습니다(이 영화가 신인 남자아이돌 P1Harmony(피원하모니) 데뷔 홍보영화이고 시리즈로 만들어지는 그 첫번째 영화라는것을 모르시고 보시는 분들은  개연성도 떨어지고  무슨 이런 영화가 다 있나 생각하실 수도 있겠네요 ㅎㅎ)",긍정
내 아내의 모든 것,10,몇 번을 봐도 질리지 않아요남자가 늦게라도 깨달아서 다행..,긍정
최종병기 활,10,긴장감있고 너무잼있었음,긍정
컷스로트 아일랜드,5,지나 데이비스가 열일하지만 너무 황당한 액션들이 거슬린다.,부정
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",10,팬미팅 현장의 감동을 대형화면에 옮겨놓아 몰입갑있게 감상할 수 있었고 압도적인 성량의 뛰어난 노래실력을 감상할 수 있어서 압권이었습니다. 무대뒤의 인간적인 김호중 가수를 엿볼 수 있어 신선하고 감동적이었습니다.,긍정
밥정,10,너무나도 인간미와 잔잔한 감동으로 가득한 영화입니다. 임지호요리사님의 사람을 향한 정과 혼이 담긴 요리를 만나보며 감탄을 금치 못했네요~~ 정말 추천해드리고 싶은 영화입니다~~♡,긍정
레이싱 인 더 레인,10,와우 영화 나름 진취적이네요잼나게 봤어요엔조 개 참 사람못지 않게스토리 잘 만들어가네요굿굿굿,긍정
담보,10,꼭보세요 두번보세요 세번보세요!,긍정
1987,10,오늘에서야 처음부터 끝까지 다보게 됬네요.열사분들께 감사합니다.,긍정
죽지않는 인간들의 밤,3,영화보는내내 언제쯤 웃기는 장면나올까? 생각하다가 갑자기 영화끝남ㅋㅋ,부정
애프터: 그 후,10,"1편에선 풋풋함이 있었다면, 2편은 조금 더 농후해지고 짙어진 감정선을 느낄 수 있었습니다. 우선 남여주인공의 비주얼은 이미 다들 아시다싶이 TOP급입니다. 거기다 트레버까지! 비주얼로 압도하고 들어가는데 이들의 연기까지 맞물려서 정말 ""아, 나도 저 나이때에 저런 사랑을 했었지""하는 생각이 들었습니다. 하딘의 전 여친을 향한 찌질함... (다들 한번씩 찌질해 지잖아요!?) 트레버의 남사친과 남친의 경계선을 왓다갔다 하지만 쉽사리 넘지 못하는 그 감정... 조심스러움, 거기에 이 삼각관계의 중심이 되는 테사의 하딘을 잊고 싶지만 쉽사리 잊지 못하는 그러한 감정연기까지! 사랑영화는 배우의 연기(감정, 동작 등등)로 판가름이 난다고 생각하는 저로써는 이 세사람의 연기를 높게 평가하는 중인데요! 비주얼+연기+영상미까지 이 세가지가 잘 어우러져 이 ""애프터: 그 후"" 를 커피가 아닌 TOP로 끌어올려줍니다. 이왕이면 TOP가 좋은거 아닐까요? 자! 내가 지금 사랑을 하고 있다 혹은 내가 지금 연애를 오래했다 하는 분이 계시다면 꼭 남자친구와 함께가서 보시는 걸 추천합니다. (이 영화를 보신다면 다시 한번 사랑의 파워가 넘쳐날꺼예요~) 1편의 풋풋함 2편의 숙성된 사랑과 감정 3, 4편이 기다려지는 이유는?",긍정
감쪽같은 그녀,4,"부산 ,경상도 사투리를 쓰는 배우를 캐스팅 하셨어야 하지 않았나 봅니다. 듣기 어색해서 대사에 집중이 전혀 안됩니다. 나문희 최정윤 고규필 천우희 김수안, 이 굵직한 배우분들이 어느 한 분도 사투리를 제대로 쓰시는 분이 없네요. 차라리 표준어로 썼으면 하는 생각입니다. 그렇다고 시나리오도 그다지...영화의 자연스러운 흐름, 계연성 같은 기본을 고려하지않은 채,장면장면 그냥그냥 감동커트 모으기에만 급급하지 않았나 봅니다. 보는 내내 민망했습니다. (저 감동포인트를 OST라고 누른것은 하나라도 고르지않으면 등록이 안되어서)",부정
그린랜드,4,보지마세요...뛰쳐나가고싶었습니다,부정
디지몬 어드벤처 라스트 에볼루션 : 인연,1,11점을 주고 싶은 내 마음이다.,부정
맨헌트,6,짝퉁 첩혈쌍웅 같은 영화에요. 이나라 저나라배우 억지로 끌여 넣서 최소 동북아시아 삼국에선 흥행해볼려고 꼼수쓴 영화.,부정
동주,10,잔잔한 감동과 여운....며칠이 지나도 또 생각나고...유투브에서 강하늘의 윤동주시 읊는대목을 짤려가며 듣고있는데 바라는것은강하늘님께서 읽어주시는 윤동주시집 오디오북을  만들어 판매해 주시면 너무 감사하겠습니다,긍정
애프터: 그 후,10,"젊음, 사랑, 그 뜨거움!한 번쯤 꿈꾸어 보았을 연애판타지가 눈앞에서 펼쳐지는 시간.배우들의 핫한 외모만큼 내용도 핫하네요영화를 보는 동안 짜릿한 긴장감!영화를 보고 난후 커진 기대감!테사와 하딘이 어떻게 될지다음편이 기대되는 영화입니다.",긍정
다만 악에서 구하소서,4,"저는 개인적으로 흥미는 있었으나재미는 없었습니다이정재랑 황정민 박정민까지 나와서.배우들의 연기력은 신선하고 볼만 했는데인간적으로 말이 참.. 안되는 것이 많았어요 그런데 심장을 둥둥 뛰게 만드는 음악 덕에 끝까지 본 듯 싶습니다뭐 그래도 태국이라는 나라에서의 설정과 인신매매를 다룬 내용, 이정재 캐릭터와 박정민의 캐릭터는 나름 신선했지만 그에 비해 개연성도 억지 감동과 너무 터무니 없는 장면들이 많아 별점 두우우개 드릴게요 ~~!!",부정
함정,8,오오 김민경..(강세나) 역시역시 이쁘넹 ㅋㅋㅋ마요미의 악역 굿,긍정
82년생 김지영,2,이건뭐 피해망상이네ㅋㅋ,부정
죽지않는 인간들의 밤,1,재미도 없고 유머스러운 부분은 너무 유치하거나 억지고... 스토리 전개방식도 너무 엉망이었습니다,부정
죽지않는 인간들의 밤,1,이걸영화라고?열받아시간아까워죽는줄허접,부정
정도,10,헨리가 나와 웃길줄 알았는데 재밌습니다.강 추,긍정
담보,10,너무 감동이라 눈물때문에 이렇게 보기힘든 영화는 첨입니다... 정말 저의 인생영화에요..만들어주셔서 감사합니다,긍정
엑시트,10,영화관에서 볼 때 지루함이 하나도 없었어요 지금 티비에 방영해주어 기억이 나서 평점씁니다,긍정
사탄의 베이비 시터: 킬러 퀸,5,"악마를 이겨내고 피의 의식에서 살아 남았지만 2년 후, 고등학생이 된 주인공이 호수축제에 가면서 벌어지는 사건을 그린 코미디, 공포영화다. 2017년 넷플릭스영화 '사탄의 베이비 시터'의 후속작이다. 주인공인 콜이 사탄의 주술로 부터 살아남은지 2년이 지난 후의 이야기를 그린 영화다. 사실 1탄의 크레딧영상에서 차에 깔려 죽은 줄 알았던 비가 살아있어 후속작이 나올거란 예상은 했다. 1탄은 스릴감과 비와 콜의 대결구도가 상당히 흥미진진하게 전개되어 예측하기가 힘든 부분도 사실 있었다. 스토리의 중심이 비에 의해 움직였고 주술로 콜을 꾀기 했지만 순수한 악마의 이미지는 아니었다. 오히려 콜이 비를 죽이는 것으로 영화는 끝난다. 2탄은 전편의 주술에서 죽은 친구들이 다시 살아 돌아오게 되고 주술을 완성할려는 자들과 콜의 대결구도로 전편과는 사뭇 다른 구도다.  아무도 콜의 말을 믿어주지 않고 정신이상자로 취급하는 가운데 전학 온 피비란 친구가 콜을 도와 사건을 해결하는 인물로 등장한다. 1탄이 집을 중심으로 한 나홀로 집 스타일의 악당 퇴치액션이었다면 이번영화는 장소의 스캐일이 넓고 커져서 액션공포물로 기대를 했지만 오히려 1탄보다 스릴감이 떨어진다. 다크코미디장르로 한정해서 평가하면 죽은 자들의 공포와 외모에서 풍기는 시크함이 공존하면서 느껴지는 풍자적인 유머가 전편보다 고급스럽게 보인다. 하지만 사마라 위빙의 역활이 카메오 수준으로 축소되다 보니 이를 대체할 캐릭터가 사실 마땅히 없는게 사실이었고 제나 오르테가는 사마라 위빙의 그림자에 불과했다. 사탄의 베이비 시터가 주인공이고 스토리를 끌고 갈 캐릭터라면 살아 돌아 온 비의 역활이 영화의 중심이 되었어야 했다. 반전이 아닌 뜬금포로 멜라니가 주술에 흑화된 캐릭터로 등장하는게 전편을 아무리 되씹어 봐도 이해가 가지 않는다. 악마숭배의식, 지옥에서 깨어난 악마와의 만남, 피를 통한 주술등은 수많은 컬트영화의 단골소재로 사용되었고 많은 마니아층을 확보하고 있을만큼 질 좋은 영화가 많다.",부정
반도,2,내 kt포인트 뺑반에 뺑소니 이후로  여기서 내 포인트 반도질 당했음...,부정
담보,10,왜 하지원이 주연이 아님에도 출연을 했는지 알수있는 영화입니다. 하지원 배우 작품중에 가장 감동지수 높은 작품이고 눈물이 마를수가 없을 정도였네요 제 마음속 최고로 감동적인 작품입니다.,긍정
호텔 뭄바이,10,진짜 올해 본 영화 중에 최고,긍정
죽지않는 인간들의 밤,1,피똥싸면서 찍은 스텝이랑 배우들에겐 미안하지만 보고나면 죽을만큼 재미없는 잊을수 없는 밤이 될겁니다 ...,부정
파이브 피트,10,어딜 가나 내 인생 영화라고 소개하는 영화,긍정
국제수사,10,재밌더라ㅋㅋ 충청도사투리가 정겨움ㅋㅋ,긍정
강철비2: 정상회담,8,ㅋㅋㅋ 토착왜구들이 깔만함~영화는 영화일뿐~~기대이상이네ㅋㅋㅋ,긍정
디지몬 어드벤처 라스트 에볼루션 : 인연,10,선넘네... 이거 어렸을적 디지몬을 보고 자라왔던 성인들은 눈물이 안나올 수 없는 역대급 디지몬 극장판이다. 안녕 디지몬.,긍정
담보,3,"두줄이면 모든 내용 요약할수있는 영화. 이제 안타까워야해 이제 웃어야해 하고 장면보다 브금이 먼저 앞서는 영화는 실로 오랜만.. 7번방 등 2010년대 가족영화보다도 시계추를 더 뒤로 돌린듯한, 뭘 해보려고 시도조차 하지않는 진짜배기 복고영화. 성동일은 맥없는 대사 읊으면서도 매번 열심이라서 불쌍하고 김희원은 열심일수있는 비중조차 얻지못했고 하지원은 넌 학쌩이고 난 성생이야 했던 시절 그대로의 내공을 자랑함. 아역배우 박소이는 신선한 느낌으로 귀엽고 그게 이 영화의 유일한 볼거리라는걸 영화도 알고있는듯한 만듦새가 놀랍다. 명절가족영화니까 이정도면 괜찮잖아 하는 배급사 높으신분의 게으른 목소리가 영화보는 내내 맴맴 울리는거같아서 보고있기 괴롭다",부정
담보,10,한 번 더 보고싶은 영화 눈물로 시작해서 눈물로 끝남,긍정
다만 악에서 구하소서,10,2020 최고의 영화라 감히 자부할수있음.신세계와 터미네이터2(복도 첫 대결)  느낌이 났음,긍정
마녀,10,재밌어요 김다미 연기잘하는 와중에 귀여움,긍정
히트맨,1,와 진짜...안 본 눈 삽니다,부정
남산의 부장들,10,그냥 연기도 연기고 스토리도 스토리고 다 미쳤어 안 보면 진짜 후회함 ㅠㅠㅠㅠ,긍정
애드 아스트라,6,메세지는 내 옆의 사람 지금을 소중히 여겨라이다. 하지만 전개가 지루하다. 브래드 피트의 독백이 절반을 차지한다. 연기 스토리 영상 모두 좋은데 지루하다.,부정
담보,10,감동의도가니탕수육이먹고십습니다람쥐도보고래는흰수염고래가지상최대의사님께서문탁은최고의보컬입니다,긍정
시간이탈자,3,시간만 이탈한게 아닌듯..,부정
담보,10,감동그자체~~하지원연기짱♡,긍정
레이니 데이 인 뉴욕,7,비오는날 뉴욕을 티모시 샬라메와 거닐고 싶은 여성 동지들.노래까지 잘 하네.,긍정
국제수사,10,즐겁고 유쾌한 영화였습니다^^,긍정
해수의 아이,8,"스토리 보다는 그냥 바다보고 싶으면 보세요. 마지막에 나오는 노래도 좋고 바다랑 하늘, 연출과 작화가 이뻐요.영화보고 나서 아쉬운 점은 OST가 크레딧이 아니라 영화 중간에 나왔으면 하는 아쉬움이...( ※ 다른 영화관은 모르겠지만 제가 갔던 메가박스에서는 특전도 주더라구요 )",긍정
백악관 최후의 날,1,ㅋㅋㅋ북한사람이죄다 표준말쓴다ㅋㅋㅋㅋ,부정
담보,2,보자고 한 친구가 영화끝자마자 사과함.이ㄸㅏㄴ 영화에 관객수+1명 시켜준게 너무 화남,부정
죽지않는 인간들의 밤,1,"ㅎ억지웃음 짜내기 + 개연성 0대체 양동근은 그래서 정체가 뭐고, 김성오는 또 어떤 존재길래 부하들은 와인먹고 죽었다가 살아나는데 자기는 그렇게 끄떡없는건지.. 대체 왜 부인을 죽이려는건지 1도 모르겠는데ㅠ 심지어 성욕만 좋은 외계인이라니ㅋㅋㅋ 뭔 스토리가 이따구야ㅠㅠ 억지 ost도 이상.. 뜬금없이 1년후ㅋㅋㅋ에휴.. 개연성이란걸 팔아먹었나봄ㅠ 영화 본 내 시간이 아깝다",부정
심플 라이프,8,묵직함이있다. 영화답지 않아서 그래서 묵직하다.,긍정
담보,10,"우리나라 영화 진짜 잘 만드는듯!! 시나리오 연출 연기,모두 탄탄!!! 막 자극적이고 폭력적이지 않아도 참 재밌고 감동적이고 그러네요!! 역쉬 그것만의 내세상 팀님들!!! 출연자분들 모두- 명배우 분들의 명연기!!! 모두 최고였어요!!담보-승희 연기도 최고!!! 코로나 시대지만 더더 대박나길!!!",긍정
테넷,10,한번더 보려는 이유는 놓친부분과 함께 영화를 한번 본 후의 내 시점에서 영화를 보고 싶어진것이다,긍정
팬데믹,1,3류  저예산 영화 ㅡㅡ 스토리도 지루하구  졸라  재미 없음 ~,부정
군함도,1,쓸데없는 감동 주려다가 내용은 에베레스트 꼭대기로 가고 역사왜곡은 상상을 초월하는 역겨운 괴작,부정
피그,5,마지막부분에서 주인공의 행동은 다 깨닫고 그냥 포기한건가?,부정
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",4,노잼핵노잼그냥노잼돈아까윰다 댓글알바,부정
나랏말싸미,1,거의 90% 역사왜곡이 심하여 실화가 아니라 판타지라고 생각합니다,부정
헌터 킬러,10,평론가들의 평점따윈 무시해라 그들은 틀에 갇힌 멍청이들일뿐 잠수함 오락영화의 영화의 극치다 십점만점,긍정
테넷,10,재밋어요 이해 하기 좀 어려운데 여러번 보면 이해하실 수 잇을거같네여,긍정
내가 살인범이다,10,두번봐도 재미있다,긍정
밥정,10,단순한 다큐멘터리를 넘어 치유의 감동이 전해지는 인생영화로 소장하고싶네요.,긍정
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",10,그내고맙소 김호중이런 전율은 첨인듯해요보고 듣는내내 뭐라 표현할수 없는 감정이 요동치네요.끝나고도 일어날수 없는 감정에 또보고 싶다아쉽다라는 생각이 들었어요두번째는 또다른 감정세번째는 어떤감정인지 궁금해 또보고 싶어지네요,긍정
피원에이치 : 새로운 세계의 시작,5,ㄹㅇ 초반 30분만 볼만함. 누나 죽고나서는... 재미도 없고 감동도 없음. 진짜 영화관 안에 나밖에 없었어서 누나 죽고나서는 그 뒤로 영화안보고 계속 핸드폰만 했다. 근데 개펜씨야 누나인데 이름도 누나? 그냥 설현 누나라고 하지그랬냐 뭔 이름이 누나야. 도대체 어떤 부모님이 애 이름을 누나라고 짓냐고. 정진영 배우님이 설현한테 누나야. 이러는거 보고 현웃터짐. 어이없어서. 암튼 1점주고 싶은데 우리애때문에 5점은 줌.,부정
죽지않는 인간들의 밤,10,진짜 이영화가 이렇게 묻힌다면 한국 영화계의 큰 손실이라고 생각함.웃다가 숨넘어갈 정도였고 내인생 가장 웃긴 영화가 극한직업이었는데 이영화보고 순위가 뒤바뀜.b급영화 만들거면 이렇게정돈 만들어야함.양동근은 진짜 하드캐리다ㅋㅋㅋ얼굴만 봐도 웃김,긍정
#살아있다,2,최악이다! 찍지 말았어야 한다!! 유아인 인생 망작이다!! 마지막 장면에서 쌍욕이 나왔다!!감상포인트 없다!! 억지로 넣었다!OST 기억도 안난다!!,부정
담보,9,딸을 가진엄마로서 아이의 연기에 너무 마음이 아파서 많이 울었음,긍정
브레이크 더 사일런스: 더 무비,6,무대에 서는 멋진 모습들과 동시에 일곱명 각자가 살아가는 마음가짐이나 신념들을 본인들의 목소리로 들어볼 수 있어서 좋았던 시간,긍정
귀여워,10,ㅋㅋ 평론가 조차 평점 할수 없는 대작~,긍정
백두산,1,에휴 배우들 존내 아깝네 ㅉㅉ,부정
클래식,10,"다시봐도 좋은 영화시대상황,그때 그 청춘남녀의 풋풋한 순수한 감성이 돋보이는  명화중의 명화!",긍정
셔터,10,옛날 영화 이지만 난 무섭게 잘봤음ㅋㅋㅋ스트레스 쌓일땐 역시 공포영화 ㅋㅋ,긍정
국제수사,7,가볍게 즐기기에 좋은 영화,긍정
담보,10,인생작나왓다 재미도있고 감동도 찐하게 있어서 좋앗어요 강추!!!,긍정
말모이,10,한글날 본 말모이... 고맙습니다.,긍정
군도:민란의 시대,8,초등 아들들하고  재미있게 봤어요‥ 얼마전에 아홉산 숲에 다녀와서 보니 더 집중해서 잘 보는듯 싶어요  작은 아들 머리긴 강동원 보고 처녀귀신 같다네요‥  사랑 받고 못 자랐지만 끝까지 아기는 지키는 강동원 모습에 짠 했네요,긍정
특수부대 전랑2,1,걍공산당 중국 국뽕영화,부정
담보,10,"좋은 영화다. 내용도 그렇지만, 좋아하는 배우 성동일님도 나오고, 아역배우 소이 찐팬됨",긍정
천문: 하늘에 묻는다,10,꼭 보세요~ 한국사람이면 꼭 봐야할 영화,긍정
좋은 친구들,10,연기력 심장쫄깃함40만밖에 보지 않았다는게 믿기지 않는 잘 만든 서스펜스영화,긍정
엑시트,3,난 이게 왜 800만이나 넘었는지 모르겠다. 억지 스토리와 감동을 넘어선 억지 웃음,부정
겟 아웃,10,아니 ㅋㅋ 옆자리 사람 깜짝 깜짝놀랄때마다 생선인줄,긍정
"나니아 연대기 - 사자, 마녀 그리고 옷장",10,평점  뭐야 개꿀잼이었는데안 보신 분들은 꼭 보세욤,긍정
사냥의 시간,10,난 재밌게봤는데?평점이 왤케안좋지,긍정
죽지않는 인간들의 밤,1,이거 블라인드 시사회때 보고 진짜 주위 사람들한테 보지 말라고 홍보하고 싶었음.... 그래도 약속대로 입다물고 있었는데 내 앞에 사람이 죽어가는데 못 살려주는 그런 느낌 ㅋㅋㅋ,부정
국제수사,8,보는내내 웃으면서 봤네요~,긍정
테스와 보낸 여름,10,좋은 추억이 많아서 더 보고싶다,긍정
애프터: 그 후,1,보다가 나옴..10대 애들용영화 얼라들 연애 현실반영하는 내용임 못봐주겠음 휴,부정
엑시트,10,대박이다....!!,긍정
대결,2,오그라 든다 내 손발... 굽히는 오징어처럼..,부정
담보,10,눈물 펑펑 ㅜㅜ 다들 연기도 잘하고 재밌게 봤어요! 아역 어쩜 그렇게 이쁘니,긍정
담보,10,그냥 펑펑 울었음 이런영화ㅠ너무 좋아 ㅠㅠ,긍정
더 테이블,6,첫번째 편이 너무 힘들었어요 보는내내..,부정
국제수사,6,"웃음을 만드려했지만, 뭔가 애매한 구석이 있었습니다. 웃기려면 확실하게 웃기던가 수사극을 하려면 확실히 수사극을 하던지 그래야 하는데 둘다 놓친것같아 아쉬웠습니다.",부정
죽지않는 인간들의 밤,1,인생최악의 쓰레기영화 내 시간을 돌리도,부정
그린랜드,1,이거보면서 졸려죽는줄~,부정
죽지않는 인간들의 밤,1,별점에 별 테두리는 왜없음. 한국영화 수준을 30년 후퇴시킨 영화. 별테두리도 아깝다. 그러나 이걸 찍겠다고 한 감독 제작사 배우들 무모한 용기에 별테두리반개. 나도 시나리오 써도 되겠다는 용기를 준 것에 별테두리반개. 별테두리 한개 준다.,부정
시티 오브 갓,10,"폭력, 마약 그리고 돈에 얽힌 빈민가의 참혹한 현실을 의도적으로 가볍고 유콰하게 다루면서도 감독의 냉소적인 시선을 잘 담아낸 영화. 흡입력과 몰입도가 뛰어나다. 다시 봐도 좋을 영화",긍정
뮬란,1,디즈니 실사화의 오점 원작에 먹칠만 했다,부정
에이바,3,에이~뭘봐... 재미도없구먼...흉내만 낸영화네...,부정
레전드,10,프랜시스가 악의 세계에서 그래도 빛줄기 벗어 날수 있는 길이었는데 인간은 그 더러운 죄를 떠나지 못한다  죄를 숨기려 더 큰 죄를 반복해서 지으며 지키려한다,긍정
"색, 계",10,또봐도 재밌어요 탕웨이도 너무이쁘고 남자배우도 멋져요 남주 이름이생각안나네요,긍정
침입자,4,정말 무슨 이야기가 하고 싶은지 하나도 모르겠는 영화. 그렇다고 단순히 시간 킬링용으로도 재미없음.전체 평점을 낮추기 위해 아예 1점 줄까하다 그래도 내 평점만 매기자는 생각에 4점 줌.,부정
투 가이즈,10,이런 킬링타임용 영화 너무 좋음 차태현 첫 등장때 얼굴 애기같고 귀염귀염ㅋㅋ,긍정
마지막 전투,1,정말 못만든 영화인데 10점 준 사람은 광고한건가?,부정
국제수사,1,영화 수 없이 봤는데 평점 처음 쓴다,부정
국제수사,4,수준급 배우에 좋은 소재와그에 걸맞지 않은 빈약한 연출과 스토리,부정
뮬란,1,배우섭외부터 마음에 안 들었다만.그래도 디즈니니까 재밌겠지하고 봤던 내가 잘못이다.그냥 뮬란이라는 작품을 망친 영화.,부정
담보,10,이건 댓글알바 안믿어도 된다  뻔하긴하지만 코로나터지고 다 노잼이다 이건 진짜 꿀잼,긍정
복면 달호,10,영화에서 노래하는 차태현 모습이 정말 멋지네요 마지막에 이차선다리 부르는 장면은 잊혀지지 않네요 너무 좋아서..^^,긍정
일주일간 친구,3,이야기 전개가 뻔하고 복선도 허술해서 결말이 너무 쉽게 예측가능함.주조연 가릴거 없이 연기를 너무 못하고 캐릭터 매력이 없음. 그리고 일본영화는 보통 서사가 부실하면 영상미라도 좋은데 그마저도 별로임 우중충차라리 조연 여사친하고 됐으면 그나마 신선했을듯,부정
오케이 마담,1,"아무리 영화라도, 비행기에 총을 가지고 탈 수가 있는거냐.",부정
반도,6,대박사건... 좀비영화를 이렇게 만들면 우째요 ㅠㅠ배우분들 고생하셨습니다...,부정
82년생 김지영,1,뭐라뭐라 암만 말해도 확실한 한가지 진실. 80년생들이 겪지않은것을 80년생인 김지영이 겪었다고 남자들을 가르치려 드는 영화. 제발 선동과 날조 말고 사실만 가지고 와서 말하자 쫌.,부정
담보,2,"진짜 OOO기 클리셰 범벅 어거지 영화.평점 믿고 봤다가 호되게 당했다.클레멘타인을 본 사람이 이런 기분일까.처음 10분은 티켓을 산 돈이, 중반부에는 이걸 본 시간이, 마지막에는 이걸 볼려고 허비한 내 시간과 돈 모두에 후회했다.가족들과 같이 보느라 결국 중간에 나가지도 못 하고 진짜 고문당하는 기분으로 봤다.",부정
신과함께-죄와 벌,10,인생에서 안 보면 안 되는 드라마 5개 안에 듭니다,긍정
트라이얼 오브 더 시카고 7,10,내가 다 억울해서 눙물... 마지막에도 눙물...,긍정
그랜드 부다페스트 호텔,10,지금까지 본 영화중에 제일 맘에 들었던 영화. 두고두고 기억날 정도 입니다.,긍정
안시성,1,걍 다 재미없고 끔찍한 장면만 담아낸듯한 영화. 끔찍하게 할거면 그 수준에 맞는 재미라도 넣어야지 걍 아무생각없이 만든 노잼스토리다.,부정
시,4,너무 루즈하압니드아아,부정
싱 스트리트,10,눈물나게 재밌고 감동적,긍정
불량남녀,10,옛날 영화지만 명작 이다,긍정
